Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Micro_SD_Card","microSD_HC_Molex_104031-0811",157.370000,-103.170000,0.000000,top
"U1","IMX6UL_BGA289","IMX6UL_BGA289",146.931500,-85.299000,180.000000,top
"U3","AZ1117C-3.3","SOT-223",131.640000,-87.700000,0.000000,top
"U4","AZ1117C-1.5","SOT-223",131.700000,-76.780000,0.000000,top
